PANID,monetary,frequency,recency,loyality_tide,loyality_All,CLUSTER,DISTANCE
1126847,6.26375,24,2,0.0833333333,0.375,6,3.6502144
1126888,14.99,1,51,1,0,4,13.233597448
1126896,10.458888889,9,10,0,0.125,7,6.223699256
1126938,5.8233333333,3,15,1,0,7,7.2672500685
1126946,8.1866666667,3,25,1,0,5,4.196788633
1126979,7.320625,16,8,0,0,6,7.5939891811
1126987,6.6125,8,15,0,0.125,7,7.6062563202
1127027,4.39,1,43,1,0,4,2.097959972
1127035,5.79,2,38,0,1,4,3.8037291613
1127050,4.7866666667,3,4,0,0,7,4.7067001209
1127068,9.0548571429,35,0,0,0,10,13.073772269
1127084,6.1566666667,3,0,0,0,7,8.2869323515
1127118,17.97,2,10,0,0,8,6.7352458794
1127159,6.9866666667,3,3,0,0,7,5.480785479
1127183,8.11,4,29,0,0,5,2.3123446009
1127217,7.89,1,20,1,0,5,9.0777824294
1127241,6.2653846154,13,13,0.5384615385,0.1538461538,7,9.4600057468
1127282,6.29,1,0,0,0,7,8.9703936121
1127290,9.1011111111,9,1,0.5555555556,0,7,8.6567768919
1127340,8.79,14,0,0,0,6,7.0200963976
1127357,5.99,1,47,0,1,4,5.4527866888
1127399,13.833333333,9,0,0,0,8,7.249198219
1127407,10.584,5,5,0.6,0,7,5.3875482235
